visaPracticeEuID,rcID,receivingCountryName,receivingCountryCode,scCountryID,sendingCountryName,sendingCountryCode,scCityID,sendingCityName,cityName,dYear,shortStayAppliedFor,shortStayIssued,shortStayRefused,shortStayRefusalRate,AvisasIssued,BvisasIssued,CvisasIssued,VTLvisasIssued,TotalABCIssued,DvisasIssued,DCvisasIssued,TotalABCDIssued,visasNotIssued,visasApplied,visaRefusalRate,issuedReprOther,visasNotIssuedCalc
1,172,Austria,AT,126,Albania,AL,2,Tirana,NULL,2002,NULL,3032,NULL,NULL,0,448,2584,61,3032,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,172,Austria,AT,129,Argentina,AR,13,Buenos Aires,NULL,2002,NULL,7,NULL,NULL,0,0,7,0,7,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,172,Austria,AT,130,Australia,AU,21,Canberra,NULL,2002,NULL,141,NULL,NULL,1,45,95,1,141,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,172,Austria,AT,134,Brazil,BR,39,Brasilia,NULL,2002,NULL,11,NULL,NULL,0,0,11,0,11,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,172,Austria,AT,134,Brazil,BR,44,Rio de Janeiro,NULL,2002,NULL,5,NULL,NULL,0,0,5,0,5,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,172,Austria,AT,174,Bulgaria,BG,48,Sofia,NULL,2002,NULL,158,NULL,NULL,3,17,138,6,158,117,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,172,Austria,AT,136,Canada,CA,55,Ottawa,NULL,2002,NULL,739,NULL,NULL,63,502,174,4,739,157,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,172,Austria,AT,137,Chile,CL,63,Santiago,NULL,2002,NULL,168,NULL,NULL,0,0,168,0,168,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,172,Austria,AT,22,China,CN,68,Shanghai,NULL,2002,NULL,8170,NULL,NULL,0,14,8156,10,8170,119,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,172,Austria,AT,23,Colombia,CO,72,Bogota,NULL,2002,NULL,538,NULL,NULL,0,2,536,1,538,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,172,Austria,AT,178,Estonia,EE,303,Tallinn,NULL,2002,NULL,338,NULL,NULL,0,45,293,189,338,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,172,Austria,AT,35,Ethiopia,ET,94,Addis Ababa,NULL,2002,NULL,226,NULL,NULL,0,1,225,0,226,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,172,Austria,AT,179,Finland,FI,284,Helsinki,NULL,2002,NULL,0,NULL,NULL,0,0,0,0,0,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,172,Austria,AT,180,France,FR,298,Paris,NULL,2002,NULL,8,NULL,NULL,0,0,8,1,8,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,172,Austria,AT,181,Germany,DE,285,Berlin,NULL,2002,NULL,7,NULL,NULL,0,0,7,5,7,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,172,Austria,AT,181,Germany,DE,344,Bonn,NULL,2002,NULL,9,NULL,NULL,0,0,9,0,9,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,172,Austria,AT,181,Germany,DE,311,Hamburg,NULL,2002,NULL,93,NULL,NULL,0,8,85,0,93,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,172,Austria,AT,165,Hong Kong SAR,HK,69,Hong Kong,NULL,2002,NULL,673,NULL,NULL,0,22,651,43,673,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,172,Austria,AT,183,Hungary,HU,299,Budapest,NULL,2002,NULL,8080,NULL,NULL,56,295,7729,4,8080,143,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,172,Austria,AT,47,Indonesia,ID,115,Jakarta,NULL,2002,NULL,1172,NULL,NULL,0,36,1136,60,1172,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,172,Austria,AT,48,Iran,IR,116,Teheran,NULL,2002,NULL,4800,NULL,NULL,575,117,4108,393,4800,801,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,172,Austria,AT,184,Ireland,IE,118,Dublin,NULL,2002,NULL,228,NULL,NULL,0,20,208,0,228,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,172,Austria,AT,144,Israel,IL,119,Tel Aviv,NULL,2002,NULL,203,NULL,NULL,0,4,199,8,203,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,172,Austria,AT,25,Côte d'Ivoire,CI,80,Abidjan,NULL,2002,NULL,182,NULL,NULL,0,0,182,0,182,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,172,Austria,AT,51,Jordan,JO,124,Amman,NULL,2002,NULL,1818,NULL,NULL,3,115,1700,98,1818,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,172,Austria,AT,53,Kenya,KE,127,Nairobi,NULL,2002,NULL,270,NULL,NULL,0,1,269,1,270,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,172,Austria,AT,160,Korea (South),KR,129,Seoul,NULL,2002,NULL,14,NULL,NULL,0,0,14,0,14,151,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,172,Austria,AT,55,Kuwait,KW,130,Kuwait City,NULL,2002,NULL,2993,NULL,NULL,0,14,2979,28,2993,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,172,Austria,AT,186,Latvia,LV,290,Riga,NULL,2002,NULL,493,NULL,NULL,0,66,427,0,493,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,172,Austria,AT,58,Lebanon,LB,133,Beirut,NULL,2002,NULL,1776,NULL,NULL,1,58,1717,44,1776,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,172,Austria,AT,188,Luxembourg,LU,314,Luxemburg,NULL,2002,NULL,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,172,Austria,AT,140,Macedonia,MK,96,Skopje,NULL,2002,NULL,5280,NULL,NULL,0,767,4513,38,5280,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,172,Austria,AT,146,Malaysia,MY,137,Kuala Lumpur,NULL,2002,NULL,73,NULL,NULL,7,17,49,1,73,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,172,Austria,AT,71,Morocco,MA,148,Rabat,NULL,2002,NULL,709,NULL,NULL,0,11,698,0,709,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,172,Austria,AT,77,Nigeria,NG,165,Lagos,NULL,2002,NULL,1725,NULL,NULL,0,10,1715,2,1725,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,172,Austria,AT,170,Norway,NO,293,Oslo,NULL,2002,NULL,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,172,Austria,AT,80,Pakistan,PK,167,Islamabad,NULL,2002,NULL,528,NULL,NULL,0,13,515,4,528,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,172,Austria,AT,83,Peru,PE,173,Lima,NULL,2002,NULL,570,NULL,NULL,8,17,545,0,570,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,172,Austria,AT,84,Philippines,PH,174,Manila,NULL,2002,NULL,1239,NULL,NULL,0,1,1238,2,1239,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,172,Austria,AT,92,Saudi Arabia,SA,193,Riyadh,NULL,2002,NULL,2162,NULL,NULL,0,0,2162,103,2162,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,172,Austria,AT,93,Senegal,SN,195,Dakar,NULL,2002,NULL,952,NULL,NULL,0,0,952,0,952,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,172,Austria,AT,157,Serbia,RS,197,Belgrade,NULL,2002,NULL,29629,NULL,NULL,4,6313,23312,4,29629,441,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,172,Austria,AT,97,South Africa,ZA,201,Pretoria,NULL,2002,NULL,4962,NULL,NULL,0,59,4903,40,4962,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,172,Austria,AT,196,Spain,ES,296,Madrid,NULL,2002,NULL,15,NULL,NULL,0,1,14,0,15,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,172,Austria,AT,197,Sweden,SE,305,Stockholm,NULL,2002,NULL,0,NULL,NULL,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,172,Austria,AT,171,Switzerland,CH,301,Bern,NULL,2002,NULL,31013,NULL,NULL,2,28533,2478,34,31013,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,172,Austria,AT,171,Switzerland,CH,332,Zurich,NULL,2002,NULL,57825,NULL,NULL,0,55572,2253,191,57825,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,172,Austria,AT,167,Taiwan,TW,267,Taipei,NULL,2002,NULL,14766,NULL,NULL,0,0,14766,5,14766,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,172,Austria,AT,105,Thailand,TH,213,Bangkok,NULL,2002,NULL,4919,NULL,NULL,0,152,4767,1,4919,233,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,172,Austria,AT,111,Tunisia,TN,217,Tunis,NULL,2002,NULL,644,NULL,NULL,0,13,631,0,644,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,172,Austria,AT,112,Turkey,TR,218,Ankara,NULL,2002,NULL,9429,NULL,NULL,2,170,9257,22,9429,1821,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,172,Austria,AT,112,Turkey,TR,220,Istanbul,NULL,2002,NULL,11755,NULL,NULL,0,852,10903,7,11755,770,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,172,Austria,AT,198,United Kingdom,GB,236,London,NULL,2002,NULL,5040,NULL,NULL,41,122,4877,197,5040,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,172,Austria,AT,162,United States of America,US,243,Chicago,NULL,2002,NULL,475,NULL,NULL,1,113,361,5,475,498,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,172,Austria,AT,162,United States of America,US,247,Los Angeles,NULL,2002,NULL,546,NULL,NULL,1,73,472,0,546,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,172,Austria,AT,162,United States of America,US,250,New York,NULL,2002,NULL,1287,NULL,NULL,10,357,920,12,1287,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,172,Austria,AT,162,United States of America,US,240,Washington,NULL,2002,NULL,802,NULL,NULL,48,215,539,1,802,124,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,172,Austria,AT,164,Venezuela,VE,258,Caracas,NULL,2002,NULL,507,NULL,NULL,0,0,507,0,507,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,172,Austria,AT,120,Vietnam,VN,261,Hanoi,NULL,2002,NULL,216,NULL,NULL,0,5,211,0,216,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,172,Austria,AT,123,Zimbabwe,ZW,265,Harare,NULL,2002,NULL,135,NULL,NULL,0,0,135,0,135,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,179,Finland,FI,129,Argentina,AR,13,Buenos Aires,NULL,2002,4,3,1,25.00,0,0,3,0,3,NULL,NULL,NULL,1,4,25,NULL,NULL
224,179,Finland,FI,130,Australia,AU,21,Canberra,NULL,2002,82,82,0,0.00,0,2,80,0,82,NULL,NULL,NULL,0,82,0,NULL,NULL
227,179,Finland,FI,134,Brazil,BR,39,Brasilia,NULL,2002,10,10,0,0.00,0,0,10,0,10,NULL,NULL,NULL,0,10,0,NULL,NULL
228,179,Finland,FI,174,Bulgaria,BG,48,Sofia,NULL,2002,333,216,117,35.14,0,1,215,21,216,NULL,NULL,NULL,117,333,35,NULL,NULL
229,179,Finland,FI,136,Canada,CA,55,Ottawa,NULL,2002,39,36,3,7.69,0,8,28,0,36,NULL,NULL,NULL,3,39,8,NULL,NULL
230,179,Finland,FI,136,Canada,CA,58,Toronto,NULL,2002,231,226,5,2.16,0,40,186,0,226,NULL,NULL,NULL,5,231,2,NULL,NULL
231,179,Finland,FI,137,Chile,CL,63,Santiago,NULL,2002,30,10,20,66.67,0,0,10,0,10,NULL,NULL,NULL,20,30,67,NULL,NULL
232,179,Finland,FI,22,China,CN,64,Beijing,NULL,2002,21876,20662,1214,5.55,0,271,20391,0,20662,NULL,NULL,NULL,1214,21876,6,NULL,NULL
234,179,Finland,FI,22,China,CN,68,Shanghai,NULL,2002,2088,1998,90,4.31,0,3,1995,0,1998,NULL,NULL,NULL,90,2088,4,NULL,NULL
235,179,Finland,FI,139,Croatia,HR,81,Zagreb,NULL,2002,108,99,9,8.33,0,15,84,2,99,NULL,NULL,NULL,9,108,8,NULL,NULL
236,179,Finland,FI,176,Czech Republic,CZ,302,Prague,NULL,2002,51,48,3,5.88,0,15,33,0,48,NULL,NULL,NULL,3,51,6,NULL,NULL
237,179,Finland,FI,177,Denmark,DK,283,Copenhagen,NULL,2002,1,1,0,0.00,0,0,1,0,1,NULL,NULL,NULL,0,1,0,NULL,NULL
238,179,Finland,FI,32,Egypt,EG,88,Cairo,NULL,2002,790,529,261,33.04,0,0,529,3,529,NULL,NULL,NULL,261,790,33,NULL,NULL
239,179,Finland,FI,178,Estonia,EE,303,Tallinn,NULL,2002,4461,4263,198,4.44,8,114,4141,195,4263,NULL,NULL,NULL,198,4461,4,NULL,NULL
240,179,Finland,FI,178,Estonia,EE,433,Las Palmas de Gran Canaria,NULL,2002,221,217,4,1.81,0,6,211,11,217,NULL,NULL,NULL,4,221,2,NULL,NULL
241,179,Finland,FI,35,Ethiopia,ET,94,Addis Ababa,NULL,2002,66,61,5,7.58,0,0,61,0,61,NULL,NULL,NULL,5,66,8,NULL,NULL
242,179,Finland,FI,180,France,FR,298,Paris,NULL,2002,1,1,0,0.00,0,0,1,1,1,NULL,NULL,NULL,0,1,0,NULL,NULL
243,179,Finland,FI,181,Germany,DE,285,Berlin,NULL,2002,3,3,0,0.00,0,0,3,0,3,NULL,NULL,NULL,0,3,0,NULL,NULL
244,179,Finland,FI,181,Germany,DE,344,Bonn,NULL,2002,3,3,0,0.00,0,0,3,0,3,NULL,NULL,NULL,0,3,0,NULL,NULL
245,179,Finland,FI,182,Greece,GR,287,Athens,NULL,2002,21,10,11,52.38,0,0,10,1,10,NULL,NULL,NULL,11,21,52,NULL,NULL
246,179,Finland,FI,183,Hungary,HU,299,Budapest,NULL,2002,45,39,6,13.33,0,1,38,0,39,NULL,NULL,NULL,6,45,13,NULL,NULL
247,179,Finland,FI,46,India,IN,107,New Delhi,NULL,2002,1308,1168,140,10.70,0,0,1168,0,1168,NULL,NULL,NULL,140,1308,11,NULL,NULL
248,179,Finland,FI,47,Indonesia,ID,115,Jakarta,NULL,2002,540,534,6,1.11,0,18,516,0,534,NULL,NULL,NULL,6,540,1,NULL,NULL
249,179,Finland,FI,48,Iran,IR,116,Teheran,NULL,2002,487,477,10,2.05,0,0,477,48,477,NULL,NULL,NULL,10,487,2,NULL,NULL
250,179,Finland,FI,184,Ireland,IE,118,Dublin,NULL,2002,107,103,4,3.74,0,26,77,2,103,NULL,NULL,NULL,4,107,4,NULL,NULL
251,179,Finland,FI,144,Israel,IL,119,Tel Aviv,NULL,2002,90,86,4,4.44,0,2,84,10,86,NULL,NULL,NULL,4,90,4,NULL,NULL
252,179,Finland,FI,145,Japan,JP,122,Tokyo,NULL,2002,93,93,0,0.00,0,18,75,0,93,NULL,NULL,NULL,0,93,0,NULL,NULL
253,179,Finland,FI,53,Kenya,KE,127,Nairobi,NULL,2002,315,284,31,9.84,0,0,284,0,284,NULL,NULL,NULL,31,315,10,NULL,NULL
254,179,Finland,FI,55,Kuwait,KW,130,Kuwait City,NULL,2002,419,418,1,0.24,0,1,417,0,418,NULL,NULL,NULL,1,419,0,NULL,NULL
255,179,Finland,FI,186,Latvia,LV,290,Riga,NULL,2002,2536,2490,46,1.81,0,42,2448,8,2490,NULL,NULL,NULL,46,2536,2,NULL,NULL
256,179,Finland,FI,58,Lebanon,LB,133,Beirut,NULL,2002,120,116,4,3.33,0,0,116,2,116,NULL,NULL,NULL,4,120,3,NULL,NULL
257,179,Finland,FI,61,Libya,LY,134,Tripoli,NULL,2002,502,500,2,0.40,0,0,500,0,500,NULL,NULL,NULL,2,502,0,NULL,NULL
259,179,Finland,FI,146,Malaysia,MY,137,Kuala Lumpur,NULL,2002,66,50,16,24.24,0,0,50,0,50,NULL,NULL,NULL,16,66,24,NULL,NULL
260,179,Finland,FI,148,Mexico,MX,141,Mexico City,NULL,2002,28,25,3,10.71,0,0,25,0,25,NULL,NULL,NULL,3,28,11,NULL,NULL
261,179,Finland,FI,71,Morocco,MA,148,Rabat,NULL,2002,140,134,6,4.29,0,0,134,0,134,NULL,NULL,NULL,6,140,4,NULL,NULL
262,179,Finland,FI,72,Mozambique,MZ,156,Maputo,NULL,2002,41,41,0,0.00,0,0,41,0,41,NULL,NULL,NULL,0,41,0,NULL,NULL
263,179,Finland,FI,73,Namibia,NA,159,Windhoek,NULL,2002,424,422,2,0.47,0,0,422,0,422,NULL,NULL,NULL,2,424,0,NULL,NULL
264,179,Finland,FI,75,Nepal,NP,160,Kathmandu,NULL,2002,342,309,33,9.65,0,4,305,0,309,NULL,NULL,NULL,33,342,10,NULL,NULL
266,179,Finland,FI,170,Norway,NO,293,Oslo,NULL,2002,2,2,0,0.00,0,0,2,0,2,NULL,NULL,NULL,0,2,0,NULL,NULL
267,179,Finland,FI,80,Pakistan,PK,167,Islamabad,NULL,2002,219,182,37,16.89,0,0,182,15,182,NULL,NULL,NULL,37,219,17,NULL,NULL
268,179,Finland,FI,83,Peru,PE,173,Lima,NULL,2002,1531,1447,84,5.49,0,1,1446,0,1447,NULL,NULL,NULL,84,1531,5,NULL,NULL
269,179,Finland,FI,84,Philippines,PH,174,Manila,NULL,2002,1127,1060,67,5.94,0,128,932,0,1060,NULL,NULL,NULL,67,1127,6,NULL,NULL
270,179,Finland,FI,191,Poland,PL,294,Warsaw,NULL,2002,75,75,0,0.00,0,5,70,0,75,NULL,NULL,NULL,0,75,0,NULL,NULL
271,179,Finland,FI,192,Portugal,PT,295,Lisbon,NULL,2002,12,10,2,16.67,0,0,10,0,10,NULL,NULL,NULL,2,12,17,NULL,NULL
272,179,Finland,FI,193,Romania,RO,176,Bucharest,NULL,2002,393,202,191,48.60,0,0,202,0,202,NULL,NULL,NULL,191,393,49,NULL,NULL
273,179,Finland,FI,86,Russia,RU,177,Moscow,NULL,2002,95352,91290,4062,4.26,1,130,91159,97,91290,NULL,NULL,NULL,4062,95352,4,NULL,NULL
274,179,Finland,FI,86,Russia,RU,180,Murmansk,NULL,2002,12564,12189,375,2.98,0,31,12158,59,12189,NULL,NULL,NULL,375,12564,3,NULL,NULL
276,179,Finland,FI,86,Russia,RU,187,St Petersburg,NULL,2002,237528,231709,5819,2.45,0,404,231305,420,231709,NULL,NULL,NULL,5819,237528,2,NULL,NULL
277,179,Finland,FI,92,Saudi Arabia,SA,193,Riyadh,NULL,2002,250,237,13,5.20,0,0,237,3,237,NULL,NULL,NULL,13,250,5,NULL,NULL
279,179,Finland,FI,159,Singapore,SG,200,Singapore,NULL,2002,221,219,2,0.90,0,0,219,0,219,NULL,NULL,NULL,2,221,1,NULL,NULL
280,179,Finland,FI,97,South Africa,ZA,202,Capetown,NULL,2002,181,181,0,0.00,0,2,179,0,181,NULL,NULL,NULL,0,181,0,NULL,NULL
281,179,Finland,FI,97,South Africa,ZA,201,Pretoria,NULL,2002,724,713,11,1.52,0,1,712,0,713,NULL,NULL,NULL,11,724,2,NULL,NULL
282,179,Finland,FI,160,Korea (South),KR,129,Seoul,NULL,2002,13,8,5,38.46,0,0,8,0,8,NULL,NULL,NULL,5,13,38,NULL,NULL
284,179,Finland,FI,197,Sweden,SE,305,Stockholm,NULL,2002,25,23,2,8.00,0,17,6,2,23,NULL,NULL,NULL,2,25,8,NULL,NULL
285,179,Finland,FI,171,Switzerland,CH,301,Bern,NULL,2002,183,165,18,9.84,0,2,163,0,165,NULL,NULL,NULL,18,183,10,NULL,NULL
286,179,Finland,FI,102,Syria,SY,209,Damascus,NULL,2002,197,131,66,33.50,0,0,131,5,131,NULL,NULL,NULL,66,197,34,NULL,NULL
287,179,Finland,FI,104,Tanzania,TZ,212,Dar-es-Salaam,NULL,2002,154,150,4,2.60,0,0,150,0,150,NULL,NULL,NULL,4,154,3,NULL,NULL
288,179,Finland,FI,105,Thailand,TH,213,Bangkok,NULL,2002,2640,2422,218,8.26,2,50,2370,0,2422,NULL,NULL,NULL,218,2640,8,NULL,NULL
290,179,Finland,FI,112,Turkey,TR,218,Ankara,NULL,2002,1970,1643,327,16.60,0,22,1621,0,1643,NULL,NULL,NULL,327,1970,17,NULL,NULL
291,179,Finland,FI,198,United Kingdom,GB,236,London,NULL,2002,1102,1075,27,2.45,0,27,1048,6,1075,NULL,NULL,NULL,27,1102,2,NULL,NULL
292,179,Finland,FI,116,Ukraine,UA,224,Kiev,NULL,2002,8569,7193,1376,16.06,0,97,7096,5,7193,NULL,NULL,NULL,1376,8569,16,NULL,NULL
293,179,Finland,FI,117,United Arab Emirates,AE,234,Abu Dhabi,NULL,2002,288,235,53,18.40,0,0,235,1,235,NULL,NULL,NULL,53,288,18,NULL,NULL
294,179,Finland,FI,162,United States of America,US,247,Los Angeles,NULL,2002,300,293,7,2.33,0,11,282,1,293,NULL,NULL,NULL,7,300,2,NULL,NULL
295,179,Finland,FI,162,United States of America,US,250,New York,NULL,2002,1417,1411,6,0.42,0,42,1369,0,1411,NULL,NULL,NULL,6,1417,0,NULL,NULL
296,179,Finland,FI,162,United States of America,US,240,Washington,NULL,2002,278,275,3,1.08,0,5,270,0,275,NULL,NULL,NULL,3,278,1,NULL,NULL
297,179,Finland,FI,164,Venezuela,VE,258,Caracas,NULL,2002,221,91,130,58.82,0,1,90,0,91,NULL,NULL,NULL,130,221,59,NULL,NULL
298,179,Finland,FI,120,Vietnam,VN,261,Hanoi,NULL,2002,303,268,35,11.55,0,0,268,0,268,NULL,NULL,NULL,35,303,12,NULL,NULL
299,179,Finland,FI,122,Zambia,ZM,264,Lusaka,NULL,2002,73,73,0,0.00,0,0,73,0,73,NULL,NULL,NULL,0,73,0,NULL,NULL
300,179,Finland,FI,123,Zimbabwe,ZW,265,Harare,NULL,2002,28,28,0,0.00,0,0,28,0,28,NULL,NULL,NULL,0,28,0,NULL,NULL
